Date,Cases
22/01/20,557
23/01/20,657
24/01/20,944
25/01/20,1437
26/01/20,2120
27/01/20,2929
28/01/20,5580
29/01/20,6169
30/01/20,8237
31/01/20,9927
01/02/20,12038
02/02/20,16787
03/02/20,19887
04/02/20,23899
05/02/20,27644
06/02/20,30806
07/02/20,34400
08/02/20,37131
09/02/20,40162
10/02/20,42771
11/02/20,44814
12/02/20,45232
13/02/20,60384
14/02/20,66912
15/02/20,69055
16/02/20,71238
17/02/20,73273
18/02/20,75155
19/02/20,75655
20/02/20,76216
21/02/20,76846
22/02/20,78608
23/02/20,78990
24/02/20,79558
25/02/20,80412
26/02/20,81384
27/02/20,82728
28/02/20,84152
29/02/20,86023
01/03/20,88402
02/03/20,90382
03/03/20,92994
04/03/20,95338
05/03/20,98078
06/03/20,102062
07/03/20,106199
08/03/20,109997
09/03/20,114292
10/03/20,119051
11/03/20,126527
12/03/20,133283
13/03/20,146477
14/03/20,157365
15/03/20,168598
16/03/20,183165
17/03/20,198339
18/03/20,215900
19/03/20,242987
20/03/20,272517
21/03/20,304944
22/03/20,339156
23/03/20,381711
24/03/20,423594
25/03/20,475075
26/03/20,535889
27/03/20,599820
28/03/20,669402
29/03/20,725918
30/03/20,790929
31/03/20,869371
01/04/20,955728
02/04/20,1038176
03/04/20,1122386
04/04/20,1182507
05/04/20,1254222
06/04/20,1328948
07/04/20,1397886
08/04/20,1480062
09/04/20,1567243
10/04/20,1653665
11/04/20,1729180
12/04/20,1847761
13/04/20,1919593
14/04/20,2004226
15/04/20,2082482
16/04/20,2176950
17/04/20,2264830
18/04/20,2343082
19/04/20,2419404
20/04/20,2495886
21/04/20,2571973
22/04/20,2654011
23/04/20,2736728
24/04/20,2820291
25/04/20,2903496
26/04/20,2974291
27/04/20,3045275
28/04/20,3121107
29/04/20,3198435
30/04/20,3282087
01/05/20,3371033
02/05/20,3449295
03/05/20,3523292
04/05/20,3600929
05/05/20,3680614
06/05/20,3771036
07/05/20,3860174
08/05/20,3950657
09/05/20,4035000
10/05/20,4110223
11/05/20,4186364
12/05/20,4271644
13/05/20,4355992
14/05/20,4451634
15/05/20,4547536
16/05/20,4641426
17/05/20,4719789
18/05/20,4808921
19/05/20,4904739
20/05/20,5010162
21/05/20,5116135
22/05/20,5223477
23/05/20,5327627
24/05/20,5420843
25/05/20,5509066
26/05/20,5601428
27/05/20,5703984
28/05/20,5823977
29/05/20,5945413
30/05/20,6080456
31/05/20,6183316
01/06/20,6283580
02/06/20,6406221
03/06/20,6517437
04/06/20,6655667
05/06/20,6789073
06/06/20,6918403
07/06/20,7029415
08/06/20,7132463
09/06/20,7258445
10/06/20,7395607
11/06/20,7531793
12/06/20,7659267
13/06/20,7793175
14/06/20,7925122
15/06/20,8050034
16/06/20,8193933
17/06/20,8337135
18/06/20,8480229
19/06/20,8661225
20/06/20,8847108
21/06/20,8940170
22/06/20,9082502
23/06/20,9250625
24/06/20,9422061
25/06/20,9601576
26/06/20,9794066
27/06/20,9970478
28/06/20,10138935
29/06/20,10291617
30/06/20,10475388
01/07/20,10690516
02/07/20,10895486
03/07/20,11098124
04/07/20,11287838
05/07/20,11474058
06/07/20,11642331
07/07/20,11851900
08/07/20,12067186
09/07/20,12291782
10/07/20,12524663
11/07/20,12737483
12/07/20,12930415
13/07/20,13124893
14/07/20,13345920
15/07/20,13575706
16/07/20,13820618
17/07/20,14058038
18/07/20,14293379
19/07/20,14505270
20/07/20,14713414
21/07/20,14956435
22/07/20,15231791
23/07/20,15511422
24/07/20,15794928
25/07/20,16044485
26/07/20,16256294
27/07/20,16490680
28/07/20,16754567
29/07/20,17024801
30/07/20,17306582
31/07/20,17594044
01/08/20,17840315
02/08/20,18070926
03/08/20,18276983
04/08/20,18542287
05/08/20,18817443
06/08/20,19104145
07/08/20,19386579
08/08/20,19651806
09/08/20,19884801
10/08/20,20118013
11/08/20,20383576
12/08/20,20658646
13/08/20,20948740
14/08/20,21255813
15/08/20,21504839
16/08/20,21714880
17/08/20,21927762
18/08/20,22187166
19/08/20,22464640
20/08/20,22736119
21/08/20,22998072
22/08/20,23261601
23/08/20,23464360
24/08/20,23692460
25/08/20,23937668
26/08/20,24219359
27/08/20,24506622
28/08/20,24790561
29/08/20,25051295
30/08/20,25271033
31/08/20,25535340
01/09/20,25802224
02/09/20,26084114
03/09/20,26369544
04/09/20,26671276
05/09/20,26944997
06/09/20,27173995
07/09/20,27391278
08/09/20,27637790
09/09/20,27923100
10/09/20,28227493
11/09/20,28543855
12/09/20,28832580
13/09/20,29081415
14/09/20,29348555
15/09/20,29629107
16/09/20,29934059
17/09/20,30249632
18/09/20,30576278
19/09/20,30869397
20/09/20,31124526
21/09/20,31384435
22/09/20,31668754
23/09/20,31980407
24/09/20,32301360
25/09/20,32631974
26/09/20,32918085
27/09/20,33165079
28/09/20,33426328
29/09/20,33709128
30/09/20,34033675
01/10/20,34352787
02/10/20,34682292
03/10/20,34979647
04/10/20,35240179
05/10/20,35551524
06/10/20,35867647
07/10/20,36216841
08/10/20,36576162
09/10/20,36936565
10/10/20,37292089
11/10/20,37581583
12/10/20,37871608
13/10/20,38190980
14/10/20,38571764
15/10/20,38978760
16/10/20,39389280
17/10/20,39761413
18/10/20,40092656
19/10/20,40467606
20/10/20,40856480
21/10/20,41296091
22/10/20,41778168
23/10/20,42272069
24/10/20,42728414
25/10/20,43087247
26/10/20,43570291
27/10/20,44038754
28/10/20,44560523
29/10/20,45111898
30/10/20,45683640
31/10/20,46155745
01/11/20,46594934
02/11/20,47143303
03/11/20,47708817
04/11/20,48200961
05/11/20,48820295
06/11/20,49443478
07/11/20,50042669
08/11/20,50533518
09/11/20,51043324
10/11/20,51614069
11/11/20,52238734
12/11/20,52878929
13/11/20,53539863
14/11/20,54126889
15/11/20,54617117
16/11/20,55142751
17/11/20,55745063
18/11/20,56367328
19/11/20,57021314
20/11/20,57695345
21/11/20,58287916
22/11/20,58785996
23/11/20,59320006
24/11/20,59910792
25/11/20,60527871
26/11/20,61117132
27/11/20,61812474
28/11/20,62420041
29/11/20,62915662
30/11/20,63422239
01/12/20,64037142
02/12/20,64677389
03/12/20,65367986
04/12/20,66064345
05/12/20,66706697
06/12/20,67250638
07/12/20,67785484
08/12/20,68416150
09/12/20,69081500
10/12/20,70576907
11/12/20,71282658
12/12/20,71931348
13/12/20,72470142
14/12/20,73021298
15/12/20,73669919
16/12/20,74387461
17/12/20,75126063
18/12/20,75847501
19/12/20,76483006
20/12/20,77030307
21/12/20,77576529
22/12/20,78227986
23/12/20,78910081
24/12/20,79603472
25/12/20,80096696
26/12/20,80629340
27/12/20,81042534
28/12/20,81541719
29/12/20,82213594
30/12/20,82938894
31/12/20,83778622
01/01/21,84342314
02/01/21,84946690
03/01/21,85467020
04/01/21,86024461
05/01/21,86765351
06/01/21,87556264
07/01/21,88426222
08/01/21,89261637
09/01/21,90017904
10/01/21,90619443
11/01/21,91233917
12/01/21,91926453
13/01/21,92669726
14/01/21,93428784
15/01/21,94212637
16/01/21,94869509
17/01/21,95397119
18/01/21,95914366
19/01/21,96507148
20/01/21,97194354
21/01/21,97863110
22/01/21,98526596
23/01/21,99103312
24/01/21,99565294
25/01/21,100046846
26/01/21,100608158
27/01/21,101209122
28/01/21,101824237
29/01/21,102413219
30/01/21,102928083
31/01/21,103324692
01/02/21,103767694
02/02/21,104233148
03/02/21,104758397
04/02/21,105230171
05/02/21,105766676
06/02/21,106201874
07/02/21,106553422
08/02/21,106893339
09/02/21,107300629
10/02/21,107741093
11/02/21,108184860
12/02/21,108614449
13/02/21,108994937
14/02/21,109303582
15/02/21,109584404
16/02/21,109944197
17/02/21,110330576
18/02/21,110741376
19/02/21,111151038
20/02/21,111526248
21/02/21,111845811
22/02/21,112141380
23/02/21,112534122
24/02/21,112979052
25/02/21,113432016
26/02/21,113873956
27/02/21,114270693
28/02/21,114578478
01/03/21,114883979
02/03/21,115197242
03/03/21,115639088
04/03/21,116097496
05/03/21,116546593
06/03/21,116960620
07/03/21,117335064
08/03/21,117640533
09/03/21,118054577
10/03/21,118513444
11/03/21,119003124
12/03/21,119492372
13/03/21,119947968
14/03/21,120313043
15/03/21,120667127
16/03/21,121134161
17/03/21,121679877
18/03/21,122227806
19/03/21,122790345
20/03/21,123288792
21/03/21,123729261
22/03/21,124150452
23/03/21,124656291
24/03/21,125285990
25/03/21,125938183
26/03/21,126578225
27/03/21,127162758
28/03/21,127655412
29/03/21,128114688
30/03/21,128676894
31/03/21,129350790
01/04/21,130060609
02/04/21,130705394
03/04/21,131245744
04/04/21,131805666
05/04/21,132302655
06/04/21,132910149
07/04/21,133573288
08/04/21,134409344
09/04/21,135156662
10/04/21,135827306
11/04/21,136536918
12/04/21,137150764
13/04/21,137914588
14/04/21,138725902
15/04/21,139547133
16/04/21,140406983
17/04/21,141200970
18/04/21,141901080
19/04/21,142592012
20/04/21,143431609
21/04/21,144320851
22/04/21,145220252
23/04/21,146127911
24/04/21,146952141
25/04/21,147680627
26/04/21,148369677
27/04/21,149208799
28/04/21,150107590
29/04/21,151001625
30/04/21,151892994
01/05/21,152687904
02/05/21,153375175
03/05/21,154065632
04/05/21,154850588
05/05/21,155692589
06/05/21,156565435
07/05/21,157400261
08/05/21,158188559
09/05/21,158837968
10/05/21,159463612
11/05/21,160189411
12/05/21,160956898
13/05/21,161691597
14/05/21,162401162
15/05/21,163032774
16/05/21,163579396
17/05/21,164122938
18/05/21,164742576
19/05/21,165414621
20/05/21,165696927
21/05/21,166323402
22/05/21,166895763
23/05/21,167377386
24/05/21,167828464
25/05/21,168361871
26/05/21,168930299
27/05/21,169477196
28/05/21,169982707
29/05/21,170463127
30/05/21,170853074
31/05/21,171240130
01/06/21,171700134
02/06/21,172187762
03/06/21,172668261
04/06/21,173093152
05/06/21,173489803
06/06/21,173812784
07/06/21,174134551
08/06/21,174504668
09/06/21,174922960
10/06/21,175376464
11/06/21,175798501
12/06/21,176166881
13/06/21,176469682
14/06/21,176778984
15/06/21,177153741
16/06/21,177542916
17/06/21,177938911
18/06/21,178342418
19/06/21,178689716
20/06/21,178994480
