Date,Cases
22/01/20,0
23/01/20,0
24/01/20,0
25/01/20,0
26/01/20,0
27/01/20,0
28/01/20,0
29/01/20,0
30/01/20,1
31/01/20,1
01/02/20,1
02/02/20,2
03/02/20,3
04/02/20,3
05/02/20,3
06/02/20,3
07/02/20,3
08/02/20,3
09/02/20,3
10/02/20,3
11/02/20,3
12/02/20,3
13/02/20,3
14/02/20,3
15/02/20,3
16/02/20,3
17/02/20,3
18/02/20,3
19/02/20,3
20/02/20,3
21/02/20,3
22/02/20,3
23/02/20,3
24/02/20,3
25/02/20,3
26/02/20,3
27/02/20,3
28/02/20,3
29/02/20,3
01/03/20,3
02/03/20,5
03/03/20,5
04/03/20,28
05/03/20,30
06/03/20,31
07/03/20,34
08/03/20,39
09/03/20,43
10/03/20,56
11/03/20,62
12/03/20,73
13/03/20,82
14/03/20,102
15/03/20,113
16/03/20,119
17/03/20,142
18/03/20,156
19/03/20,194
20/03/20,244
21/03/20,330
22/03/20,396
23/03/20,499
24/03/20,536
25/03/20,657
26/03/20,727
27/03/20,887
28/03/20,987
29/03/20,1024
30/03/20,1251
31/03/20,1397
01/04/20,1998
02/04/20,2543
03/04/20,2567
04/04/20,3082
05/04/20,3588
06/04/20,4778
07/04/20,5311
08/04/20,5916
09/04/20,6725
10/04/20,7598
11/04/20,8446
12/04/20,9205
13/04/20,10453
14/04/20,11487
15/04/20,12322
16/04/20,13430
17/04/20,14352
18/04/20,15722
19/04/20,17615
20/04/20,18539
21/04/20,20080
22/04/20,21370
23/04/20,23077
24/04/20,24530
25/04/20,26283
26/04/20,27890
27/04/20,29451
28/04/20,31324
29/04/20,33062
30/04/20,34863
01/05/20,37257
02/05/20,39699
03/05/20,42505
04/05/20,46437
05/05/20,49400
06/05/20,52987
07/05/20,56351
08/05/20,59695
09/05/20,62808
10/05/20,67161
11/05/20,70768
12/05/20,74292
13/05/20,78055
14/05/20,81997
15/05/20,85784
16/05/20,90648
17/05/20,95698
18/05/20,100328
19/05/20,106475
20/05/20,112028
21/05/20,118226
22/05/20,124794
23/05/20,131423
24/05/20,138536
25/05/20,144950
26/05/20,150793
27/05/20,158086
28/05/20,165386
29/05/20,173491
30/05/20,181827
31/05/20,190609
01/06/20,198370
02/06/20,207191
03/06/20,216824
04/06/20,226713
05/06/20,236184
06/06/20,246622
07/06/20,257486
08/06/20,265928
09/06/20,276146
10/06/20,286605
11/06/20,297535
12/06/20,308993
13/06/20,320922
14/06/20,332424
15/06/20,343091
16/06/20,354065
17/06/20,366946
18/06/20,380532
19/06/20,395048
20/06/20,410451
21/06/20,425282
22/06/20,440215
23/06/20,456183
24/06/20,473105
25/06/20,490401
26/06/20,508953
27/06/20,528859
28/06/20,548318
29/06/20,566840
30/06/20,585481
01/07/20,604641
02/07/20,625544
03/07/20,648315
04/07/20,673165
05/07/20,697413
06/07/20,719664
07/07/20,742417
08/07/20,767296
09/07/20,793802
10/07/20,820916
11/07/20,849522
12/07/20,878254
13/07/20,906752
14/07/20,936181
15/07/20,968857
16/07/20,1003832
17/07/20,1039084
18/07/20,1077781
19/07/20,1118206
20/07/20,1155338
21/07/20,1193078
22/07/20,1238798
23/07/20,1288108
24/07/20,1337024
25/07/20,1385635
26/07/20,1435616
27/07/20,1480073
28/07/20,1531669
29/07/20,1581963
30/07/20,1634746
31/07/20,1695988
01/08/20,1750723
02/08/20,1803695
03/08/20,1855745
04/08/20,1908254
05/08/20,1964536
06/08/20,2027074
07/08/20,2088611
08/08/20,2153010
09/08/20,2215074
10/08/20,2268675
11/08/20,2329638
12/08/20,2396637
13/08/20,2461190
14/08/20,2525922
15/08/20,2589952
16/08/20,2647663
17/08/20,2702681
18/08/20,2767253
19/08/20,2836925
20/08/20,2905825
21/08/20,2975701
22/08/20,3044940
23/08/20,3106348
24/08/20,3167323
25/08/20,3224547
26/08/20,3310234
27/08/20,3387500
28/08/20,3463972
29/08/20,3542733
30/08/20,3621245
31/08/20,3691166
01/09/20,3769523
02/09/20,3853406
03/09/20,3936747
04/09/20,4023179
05/09/20,4113811
06/09/20,4204613
07/09/20,4280422
08/09/20,4370128
09/09/20,4465863
10/09/20,4562414
11/09/20,4659984
12/09/20,4754356
13/09/20,4846427
14/09/20,4930236
15/09/20,5020359
16/09/20,5118253
17/09/20,5214677
18/09/20,5308014
19/09/20,5400619
20/09/20,5487580
21/09/20,5562663
22/09/20,5646010
23/09/20,5732518
24/09/20,5818570
25/09/20,5903932
26/09/20,5992532
27/09/20,6074702
28/09/20,6145291
29/09/20,6225763
30/09/20,6312584
01/10/20,6394068
02/10/20,6473544
03/10/20,6549373
04/10/20,6623815
05/10/20,6685082
06/10/20,6757131
07/10/20,6835655
08/10/20,6906151
09/10/20,6979423
10/10/20,7053806
11/10/20,7120538
12/10/20,7175880
13/10/20,7239389
14/10/20,7307097
15/10/20,7370468
16/10/20,7432680
17/10/20,7494551
18/10/20,7550273
19/10/20,7597063
20/10/20,7651107
21/10/20,7706946
22/10/20,7761312
23/10/20,7814682
24/10/20,7864811
25/10/20,7909959
26/10/20,7946429
27/10/20,7990322
28/10/20,8040203
29/10/20,8088851
30/10/20,8137119
31/10/20,8184082
01/11/20,8229313
02/11/20,8267623
03/11/20,8313876
04/11/20,8364086
05/11/20,8411724
06/11/20,8462080
07/11/20,8507754
08/11/20,8553657
09/11/20,8591730
10/11/20,8636011
11/11/20,8683916
12/11/20,8728795
13/11/20,8773479
14/11/20,8814579
15/11/20,8845127
16/11/20,8874290
17/11/20,8912907
18/11/20,8958483
19/11/20,9004365
20/11/20,9050597
21/11/20,9095806
22/11/20,9139865
23/11/20,9177840
24/11/20,9222216
25/11/20,9266705
26/11/20,9309787
27/11/20,9351109
28/11/20,9392919
29/11/20,9431691
30/11/20,9462809
01/12/20,9499413
02/12/20,9534964
03/12/20,9571559
04/12/20,9608211
05/12/20,9644222
06/12/20,9677203
07/12/20,9703770
08/12/20,9735850
09/12/20,9767371
10/12/20,9796744
11/12/20,9826775
12/12/20,9857029
13/12/20,9884100
14/12/20,9906165
15/12/20,9932547
16/12/20,9956557
17/12/20,9979447
18/12/20,10004599
19/12/20,10031223
20/12/20,10055560
21/12/20,10075116
22/12/20,10099066
23/12/20,10123778
24/12/20,10146845
25/12/20,10169118
26/12/20,10187850
27/12/20,10207871
28/12/20,10224303
29/12/20,10244852
30/12/20,10266674
31/12/20,10286709
01/01/21,10305788
02/01/21,10323965
03/01/21,10340469
04/01/21,10356844
05/01/21,10374932
06/01/21,10395278
07/01/21,10413417
08/01/21,10413417
09/01/21,10450284
10/01/21,10466595
11/01/21,10479179
12/01/21,10495147
13/01/21,10512093
14/01/21,10527683
15/01/21,10542841
16/01/21,10557985
17/01/21,10571773
18/01/21,10581823
19/01/21,10595639
20/01/21,10610883
21/01/21,10625428
22/01/21,10639684
23/01/21,10654533
24/01/21,10667736
25/01/21,10676838
26/01/21,10689527
27/01/21,10701193
28/01/21,10720048
29/01/21,10733130
30/01/21,10746174
31/01/21,10757610
01/02/21,10766245
02/02/21,10777284
03/02/21,10790183
04/02/21,10802591
05/02/21,10814304
06/02/21,10826363
07/02/21,10838194
08/02/21,10847304
09/02/21,10858371
10/02/21,10871294
11/02/21,10880603
12/02/21,10892746
13/02/21,10904940
14/02/21,10916589
15/02/21,10925710
16/02/21,10937320
17/02/21,10950201
18/02/21,10963394
19/02/21,10977387
20/02/21,10991651
21/02/21,11005850
22/02/21,11016434
23/02/21,11030176
24/02/21,11046914
25/02/21,11063491
26/02/21,11079979
27/02/21,11096731
28/02/21,11112241
01/03/21,11124527
02/03/21,11139516
03/03/21,11156923
04/03/21,11173761
05/03/21,11192045
06/03/21,11210799
07/03/21,11229398
08/03/21,11244786
09/03/21,11262707
10/03/21,11285561
11/03/21,11308846
12/03/21,11333728
13/03/21,11359048
14/03/21,11385339
15/03/21,11409831
16/03/21,11438734
17/03/21,11474605
18/03/21,11514331
19/03/21,11555284
20/03/21,11599130
21/03/21,11646081
22/03/21,11686796
23/03/21,11734058
24/03/21,11787534
25/03/21,11846652
26/03/21,11908910
27/03/21,11971624
28/03/21,12039644
29/03/21,12095855
30/03/21,12149335
31/03/21,12221665
01/04/21,12303131
02/04/21,12392260
03/04/21,12485509
04/04/21,12589067
05/04/21,12686049
06/04/21,12801785
07/04/21,12928574
08/04/21,13060542
09/04/21,13205926
10/04/21,13358805
11/04/21,13527717
12/04/21,13689453
13/04/21,13873825
14/04/21,14074564
15/04/21,14291917
16/04/21,14526609
17/04/21,14788003
18/04/21,15061805
19/04/21,15320972
20/04/21,15616130
21/04/21,15930774
22/04/21,16263695
23/04/21,16610481
24/04/21,16960172
25/04/21,17313163
26/04/21,17636186
27/04/21,17997113
28/04/21,18376421
29/04/21,18762976
30/04/21,19164969
01/05/21,19557457
